id,code,task,code origin,name,line,H1 score,H1 reason,H1 sub-reason,H2 score,H2 reason,H2 sub-reason,Full prompt score,Full prompt reason,Full prompt sub-reason,H1-H2 disagreement type,H1-Full prompt disagreement type
54,"def print_chessboard(n): # nakreslí ASCII šachovnici o n délce a šířce
    if n % 2 == 0:
        for i in range(n//2):
            print((n//2) * (""# "" + "". ""))
            print((n//2) * ("". "" + ""# ""))
    elif n % 2 == 1:
        for j in range(n//2):
            print((n//2) * (""# "" + "". "") + ""#"")
            print((n//2) * ("". "" + ""# "") + ""."")
        print((n//2) * (""# "" + "". "") + ""#"")",11,authentic,print_chessboard,1,good,,,good,,,good,,,,
,,,,n,1,good,,,good,,,good,,,,
,,,,i,3,good,,,good,,,good,,,,
,,,,j,7,medium,confusing,inconsistent,medium,confusing,false analogy,medium,confusing,inconsistent,fuzziness of taxonomy,
90,"def print_primes(n):
    primes_list = [1]
    not_prime = 0
    int_in_n = 1
    
    while len(primes_list) != (n + 1):
        int_in_n += 1
        #print('number', int_in_n)
        for prime in primes_list:
            if (int_in_n % prime) == 0 and prime != int_in_n and prime != 1:
                #print('not_prime_detected', prime)
                not_prime += 1
        #print('p_test', not_prime)
        if not_prime == 0:
            primes_list.append(int_in_n)
            print(int_in_n)
        not_prime = 0",22,authentic,print_primes,1,good,,,good,,,good,,,,
,,,,n,1,good,,,good,,,good,,,,
,,,,primes_list,2,medium,overly informative,including type,good,,,medium,overly informative,including type,oversight H2,
,,,,not_prime,3,bad,confusing,negated boolean,medium,confusing,negated boolean,bad,confusing,contradicting meaning,personal opinions -- severity,multiple possible sub-reasons
,,,,int_in_n,4,medium,confusing,contradicting common use,bad,overly informative,including type,bad,uninformative,vague,multiple possible sub-reasons,multiple possible sub-reasons
,,,,prime,9,good,,,good,,,good,,,,
94,"def print_primes(n):
    counter2 = 0
    i = 1
    while counter2 < n:   
        counter = 0
        for j in range(1,i+1):
            if i%j==0:
                counter+=1
        if counter==2:
            print(i)
            counter2+=1
        i+=1",22,authentic,print_primes,1,good,,,good,,,good,,,,
,,,,n,1,good,,,good,,,good,,,,
,,,,counter2,2,bad,uninformative,vague,medium,uninformative,vague,bad,confusing,false analogy,personal opinions -- severity,multiple possible sub-reasons
,,,,i,3,bad,confusing,contradicting common use,good,,,good,,,personal opinions -- naming standards,personal opinions -- naming standards
,,,,counter,5,bad,uninformative,vague,medium,uninformative,vague,medium,uninformative,vague,personal opinions -- severity,personal opinions -- severity
,,,,j,6,bad,confusing,contradicting common use,medium,confusing,false analogy,good,,,fuzziness of taxonomy,fuzziness of taxonomy
